titre,titre original
The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
The Godfather Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
"The Good, the Bad and the Ugly","Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton"
The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
Star Wars: Episode V - The Empire Strikes Back,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
The Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
One Flew Over the Cuckoo's Nest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
Seven Samurai,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
It's a Wonderful Life,"Frank Capra (dir.), James Stewart, Donna Reed"
The Silence of the Lambs,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
City of God,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
Saving Private Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
Life Is Beautiful,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
Interstellar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
The Green Mile,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
Star Wars: Episode IV - A New Hope,"George Lucas (dir.), Mark Hamill, Harrison Ford"
Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
